"","row_code","scientificName","year","lon","lat","presence","species","farming","flooded_forest","grassland","other_non_vegetated","urban","wetland","forest_formation","river_lake_ocean","not_observed","mangrove","non_forested_natural","savannah_formation","rocky_outcrop","mining","fold"
"126",126,"Bradypus tridactylus",2011,-52.821,2.32849,1,"Bradypus tridactylus",0,0,0,0,0,0,0.964100625073721,0,0,0,0,0,0,0,1
"127",127,"Bradypus tridactylus",2011,-52.28248,3.18834,1,"Bradypus tridactylus",0,0,0,0,0,0,0.990278273411888,0,0,0,0,0,0,0,1
"128",128,"Bradypus tridactylus",2011,-53.99302,3.72685,1,"Bradypus tridactylus",0,0,0,0,0,0,0.976307066559911,0,0,0,0,0,0,0,1
"129",129,"Bradypus tridactylus",2011,-54.17028,2.91325,1,"Bradypus tridactylus",0,0,0,0,0,0,0.99017480202062,0,0,0,0,0,0,0,1
"130",130,"Bradypus tridactylus",2010,-52.55167,2.64534,1,"Bradypus tridactylus",0,0,0.0239499194391424,0,0,0,0.760800696296987,0.192534115703791,0.000893048095703125,0,0,0,0,0,1
"131",131,"Bradypus tridactylus",2010,-52.77703,3.00675,1,"Bradypus tridactylus",0,0,0,0,0,0,0.990100489961515,0,0,0,0,0,0,0,1
"132",132,"Bradypus tridactylus",2010,-52.55241,3.18797,1,"Bradypus tridactylus",0,0,0,0,0,0,0.97207248614502,0,0,0,0,0,0,0,1
"133",133,"Bradypus tridactylus",2010,-52.82094,2.28327,1,"Bradypus tridactylus",0,0,0,0,0,0,0.978682252636716,0,0,0,0,0,0,0,1
"134",134,"Bradypus tridactylus",2010,-52.1477,3.36941,1,"Bradypus tridactylus",0.00445887265720741,0,0.00105473511851918,0,0,0,0.844497638489203,0.119590910228383,0,0,0,0,0,0,1
"135",135,"Bradypus tridactylus",2010,-52.91164,2.82568,1,"Bradypus tridactylus",0,0,0,0,0,0,0.983711082447003,0,0,0,0,0,0,0,1
"136",136,"Bradypus tridactylus",2010,-52.32747,3.18829,1,"Bradypus tridactylus",0,0,0,0,0,0,0.963986075992359,0,0,0,0,0,0,0,1
"137",137,"Bradypus tridactylus",2010,-53.29342,3.58784,1,"Bradypus tridactylus",0,0,0,0,0,0,0.963609193059941,0,0,0,0,0,0,0,1
"138",138,"Bradypus tridactylus",2010,-53.58696,5.49016,1,"Bradypus tridactylus",0,0,0,0,0,0,0.980478722313015,0,0,0,0,0,0,0,1
"139",139,"Bradypus tridactylus",2010,-53.11744,3.76701,1,"Bradypus tridactylus",0,0,0,0,0,0,0.977309475354246,0,0,0,0,0,0,0,1
