"","row_code","scientificName","year","lon","lat","presence","bio1_mean_annual_temp","bio12_annual_precip","farming","forest_formation","other_non_vegetated","flooded_forest","river_lake_ocean","urban","non_forested_natural","grassland","wetland","mining","savannah_formation","mangrove","not_observed","glacier","fold"
"111",111,"Lagothrix lagothricha",2019,-76.359021,-0.595137,0,24.9500007629395,3224.43484180498,0,0.973487718,0,0,0,0,0,0,0,0,0,0,0,0,1
"112",112,"Chiropotes albinasus",2021,-55.882921,-9.476137,0,25.224471155277,2323.58777359892,0,0.978981583,0,0,0,0,0,0,0,0,0,0,0,0,2
"113",113,"Saccopteryx leptura",2016,-66.174921,-11.127837,0,25.75,1834.17083942003,0.021830289,0.025051845,0,0.673882549,0.264410439,0,0,0,0,0,0,0,0,0,3
"114",114,"Saimiri boliviensis",1938,-63.668321,-17.452437,0,23.2894813474804,1621.16596137153,0.640572511,0.164895706,0,0,0,0.180366926,0,0,0,0,0,0,0,0,3
"115",115,"Saguinus mystax",1936,-69.868421,-6.670737,0,25.6446438789368,2115.82956441243,0.258835175,0.127237275,0,0,0.299041589,0.179676956,0,0.097623348,0,0,0,0,0,0,3
"116",116,"Cebus yuracus",2015,-77.695321,-1.059937,0,24.1105934726305,4483.80148340651,0.128461872,0.861631146,0,0,0,0,0,0,0,0,0,0,0,0,1
"117",117,"Euphractus sexcinctus",2022,-66.100221,-13.758937,0,25.8500003814697,1902.30736400463,0.05067205,0.016510445,0,0.036170109,0.133128297,0,0,0.337956988,0.405874412,0,0,0,0,0,3
"118",118,"Leopardus pardalis",2021,-76.848721,-0.221637,0,24.6607363926425,3391.17820948684,0.651614817,0.11516801,0.006759103,0,0,0.200249562,0,0,0,0,0,0,0,0,1
"119",119,"Nectomys rattus",1972,-51.168521,2.002763,0,25.4950053345613,3353.81580450921,0,0.972147839,0,0,0.004467216,0,0,0,0,0,0,0,0,0,2
"120",120,"Myotis keaysi",1993,-65.859521,-17.211737,0,13.0473424377755,3117.00488783597,0.053077133,0.900820018,0,0,0,0,0.024992553,0,0,0,0,0,0,0,3
"121",121,"Akodon orophilus",1926,-77.263721,-6.164437,0,19.1906703458287,1901.60208167872,0.032983314,0.946349679,0,0,0,0,0,0,0,0,0,0,0,0,1
"122",122,"Saimiri sciureus",2019,-55.409821,4.177363,0,26.25,2146.71529556211,0,0.969982998,0,0,0,0,0,0,0,0,0,0,0,0,2
"123",123,"Saguinus midas",2019,-52.396921,4.932663,0,26.0499992370605,3274.40894466416,0.145840526,0.153209204,0.011691142,0.547731428,0,0.068750141,0,0.004453775,0.044051839,0,0,0.000890758,0,0,2
"124",124,"Phyllotis andium",2008,-78.259721,-7.915737,0,6.38304243839628,1311.60200418179,0,0,0.010145155,0,0.003669289,0,0,0.123915687,0,0,0,0,0,0,1
"125",125,"Rhinophylla pumilio",2013,-76.608021,-5.882237,0,24.9693095970945,1643.21739608321,0.006070344,0.94066697,0.010081319,0,0.023009958,0,0,0,0,0,0,0,0,0,1
"126",126,"Hippocamelus antisensis",2022,-71.370721,-15.078637,0,2.04213356726454,1659.67133296762,0,0,0.445971759,0,0,0,0,0.092525533,0.005812317,0,0,0,0,0,3
"127",127,"Vampyriscus bidens",2016,-75.894221,1.430063,0,23.4950583366932,4246.66797077606,0.523927304,0.441914446,0,0,0,0,0,0,0,0,0,0,0,0,1
"128",128,"Alouatta macconnelli",2022,-55.492821,4.650463,0,25.9052845637004,2277.92740478516,0,0.955207329,0.013366678,0,0,0,0,0,0,0,0,0,0,0,2
"129",129,"Choloepus didactylus",2020,-55.135921,5.787563,0,26.25,2223.71370577221,0.311992577,0,0.024447483,0.588531565,0,0.048564904,0,0,0.014580584,0,0,0,0,0,2
"130",130,"Cyclopes didactylus",1983,-73.246521,-3.027037,0,25.3783397357988,3170.81811422134,0.025054808,0.234719496,0.0051535,0.229928357,0.483534683,0,0,0,0,0,0,0,0,0,1
"131",131,"Gardnerycteris crenulatum",2016,-69.212721,4.127563,0,25.0806162901439,3027.46834883947,0,0.844738231,0,0.130874895,0,0,0,0,0,0,0,0,0,0,1
"132",132,"Lonchophylla thomasi",1992,-60.447921,7.347963,0,25.0499992370605,2074.43936397822,0,0.900899306,0.067423041,0,0.000886833,0,0,0.013856733,0,0,0,0,0,0,2
