"scientificName"
"Glyphonycteris sylvestris"
"Micronycteris schmidtorum"
"Micronycteris hirsuta"
"Glyphonycteris daviesi"
"Micronycteris minuta"
"Micronycteris megalotis"
"Glyphonycteris behnii"
"Lampronycteris brachyotis"
"Carollia perspicillata"
"Phylloderma stenops"
"Carollia brevicauda"
"Phyllostomus elongatus"
"Phyllostomus discolor"
"Mazama americana"
"Mazama nemorivaga"
"Hippocamelus antisensis"
"Blastocerus dichotomus"
"Odocoileus virginianus"
"Pudu mephistophiles"
"Mazama rufina"
"Mazama chunyi"
"Gracilinanus aceramarcae"
"Gracilinanus agilis"
"Monodelphis emiliae"
"Monodelphis adusta"
"Monodelphis osgoodi"
"Monodelphis ronaldi"
"Thylamys tatei"
"Chironectes minimus"
"Marmosa quichua"
"Marmosa lepida"
"Marmosa robinsoni"
"Marmosa rubra"
"Marmosa andersoni"
"Lutreolina crassicaudata"
"Didelphis pernigra"
"Philander opossum"
"Marmosops bishopi"
"Marmosops juninensis"
"Marmosops impavidus"
"Glironia venusta"
"Lestoros inca"
"Caenolestes caniventer"
"Caenolestes condorensis"
"Cuscomys oblativa"
"Cuscomys ashaninka"
"Abrocoma cinerea"
"Cavia tschudii"
"Cavia aperea"
"Galea musteloides"
"Hydrochoerus hydrochaeris"
"Lagidium viscacia"
"Chinchilla chinchilla"
"Ctenomys leucodon"
"Ctenomys opimus"
"Ctenomys peruanus"
"Cuniculus paca"
"Cuniculus taczanowskii"
"Dasyprocta kalinowskii"
"Dasyprocta fuliginosa"
"Myoprocta pratti"
"Dinomys branickii"
"Lonchothrix emiliae"
"Makalata macrura"
"Toromys rhipidurus"
"Echimys saturnus"
"Proechimys echinothrix"
"Proechimys quadruplicatus"
"Proechimys kulinae"
"Proechimys simonsi"
"Proechimys steerei"
"Proechimys pattoni"
"Proechimys brevicauda"
"Proechimys decumanus"
"Proechimys cuvieri"
"Dactylomys peruanus"
"Dactylomys dactylinus"
"Dactylomys boliviensis"
"Isothrix bistriata"
"Isothrix barbarabrownae"
"Pattonomys occasius"
"Mesomys hispidus"
"Mesomys leniceps"
"Coendou rufescens"
"Coendou ichillus"
"Coendou bicolor"
"Coendou prehensilis"
"Sciurus sanborni"
"Sciurus pyrrhinus"
"Sciurus ignitus"
"Microsciurus flaviventer"
"Sciurillus pusillus"
"Cryptotis peruviensis"
"Necromys lasiurus"
"Galenomys garleppi"
"Nephelomys keaysi"
"Nephelomys auriventer"
"Nephelomys levipes"
"Chinchillula sahamae"
"Oreoryzomys balneator"
"Phyllotis gerbillus"
"Calomys boliviae"
"Punomys kofordi"
"Punomys lemminus"
"Neusticomys peruviensis"
"Auliscomys boliviensis"
"Abrothrix jelskii"
"Eremoryzomys polius"
"Neotomys ebriosus"
"Phyllotis osilae"
"Phyllotis xanthopygus"
"Phyllotis definitus"
"Melanomys zunigae"
"Neacomys musseri"
"Rhagomys longilingua"
"Sigmodon peruanus"
"Oligoryzomys arenalis"
"Lenoxus apicalis"
"Thomasomys rosalinda"
"Thomasomys pyrrhonotus"
"Thomasomys incanus"
"Thomasomys ischyrus"
"Thomasomys onkiro"
"Thomasomys kalinowskii"
"Thomasomys cinereus"
"Thomasomys gracilis"
"Thomasomys baeops"
"Thomasomys praetor"
"Thomasomys aureus"
"Thomasomys macrotis"
"Thomasomys apeco"
"Thomasomys caudivarius"
"Oecomys phaeotis"
"Oecomys trinitatis"
"Oecomys paricola"
"Rhipidomys ochrogaster"
"Rhipidomys modicus"
"Rhipidomys gardneri"
"Oxymycterus inca"
"Oxymycterus hiska"
"Akodon aerosus"
"Akodon boliviensis"
"Akodon subfuscus"
"Akodon lutescens"
"Akodon surdus"
"Akodon kofordi"
"Akodon orophilus"
"Akodon mollis"
"Ichthyomys stolzmanni"
"Chibchanomys orcesi"
"Amphinectomys savamis"
"Searsia koefoedi"
"Cubiceps caeruleus"
"Manducus maderensis"
"Pachycara bulbiceps"
"Sigmops bathyphilus"
"Tetragonurus atlanticus"
"Chaenophryne ramifera"
"Dolopichthys allector"
"Melanocetus murrayi"
"Microlophichthys microlophus"
"Oneirodes carlsbergi"
"Phanaeus achilles"
"Seriola lalandi"
"Gastrotheca monticola"
"Rhinella limensis"
"Dermochelys coriacea"
"Trichechus inunguis"
"Anolis bombiceps"
"Anolis ortonii"
"Anolis punctatus"
"Anolis scypheus"
"Anolis trachyderma"
"Anolis transversalis"
"Alopoglossus atriventris"
"Alopoglossus buckleyi"
"Alopoglossus copii"
"Arthrosaura reticulata"
"Cercosaura eigenmanni"
"Cercosaura manicata"
"Cercosaura parkeri"
"Iphisa elegans"
"Neusticurus bicarinatus"
"Potamites ecpleopus"
"Potamites montanicola"
